--------------TurbSim v2.00.* User Time Series Input File-----------------------
     Time series input from Experimental Data
--------------------------------------------------------------------------------
          3 nComp - Number of velocity components in the file
          1 nPoints - Number of time series points contained in this file (-)
          1 RefPtID - Index of the reference point (1-nPoints)
     Pointyi Pointzi ! nPoints listed in order of increasing height
       (m)     (m)
       0.0   119
--------Time Series-------------------------------------------------------------
Elapsed Time            Point01u                Point01v                Point01w
       (s)             (m/s)                   (m/s)                   (m/s)
13.20	12.06126	3.98126	-0.94956
13.30	12.06209	3.18381	-1.21400
13.40	11.97071	2.86568	-0.55349
13.50	11.58817	2.44530	0.30239
13.60	12.00145	2.47916	0.07892
13.70	12.05918	3.11087	0.06704
13.80	11.51382	2.95001	-0.80744
13.90	11.43324	2.37887	-1.49289
14.00	11.78795	2.19945	-1.57880
14.10	11.17530	2.46223	-0.68987
14.20	11.86064	2.87512	-0.10299
14.30	12.19168	2.77515	-0.64454
14.40	11.55577	2.79176	-0.18869
14.50	11.71651	2.45702	-0.20591
14.60	12.35451	2.58890	0.35642
14.70	12.37943	2.60518	0.18521
14.80	11.65961	2.34468	-0.21898
14.90	11.94039	1.13010	0.21648
15.00	12.14475	0.91812	-0.35060
15.10	12.25440	0.76540	0.18323
15.20	12.18504	0.27469	-0.14891
15.30	12.54391	0.02265	0.41501
15.40	12.44339	-0.59310	1.16974
15.50	12.49116	-0.60710	0.99635
15.60	12.57922	-0.85979	1.20854
15.70	12.39023	0.22975	2.05590
15.80	12.71047	1.30626	1.56937
15.90	12.37320	0.52477	1.03277
16.00	12.59874	0.70516	0.34257
16.10	12.57132	1.18676	0.18778
16.20	12.42013	0.69246	0.44549
16.30	13.08803	0.74489	0.66738
16.40	13.66538	1.03079	0.40234
16.50	13.69903	0.28869	0.53278
16.60	13.83153	-0.13885	0.84513
16.70	13.77255	-0.18379	0.39106
16.80	13.53288	-0.31762	-0.02441
16.90	13.78459	-1.44623	0.67312
17.00	14.29881	-1.97440	0.74002
17.10	14.06704	-1.23979	-0.12436
17.20	13.51627	-1.75362	0.18659
17.30	13.89674	-1.92230	0.36929
17.40	14.30961	-1.72920	0.47479
17.50	14.11854	-1.81386	-0.25975
17.60	13.45895	-1.02846	-0.41196
17.70	13.88802	-1.04246	-0.21720
17.80	13.73890	-0.72400	0.10029
17.90	13.66829	-0.49151	0.29942
18.00	14.37482	-0.86793	-0.29637
18.10	14.20951	-0.77154	-1.14076
18.20	13.18190	-0.15025	-0.94124
18.30	12.58295	0.36814	-1.08613
18.40	13.22967	0.38800	-2.01227
18.50	13.41077	-0.27334	-3.14269
18.60	13.17526	-0.43875	-2.41408
18.70	13.19021	-0.98710	-1.84878
18.80	13.44649	-0.93142	-1.12097
18.90	13.63589	-1.22937	-1.46716
19.00	14.09071	-0.62013	-1.73338
19.10	14.07617	0.28283	-1.17758
19.20	13.96984	0.57459	-0.88939
19.30	14.09196	0.09527	-0.90245
19.40	14.63816	-0.13560	-0.63068
19.50	14.29507	-0.47620	-0.45254
19.60	13.81117	-1.34627	0.03418
19.70	14.31251	-1.01446	0.29665
19.80	14.06164	-1.36776	-0.22393
19.90	14.71085	-1.11345	-0.94342
20.00	14.18417	-1.14438	-1.35572
20.10	14.19829	-0.09131	-2.18072
20.20	13.84233	-0.50160	-1.31000
20.30	14.67097	0.10536	-0.72965
20.40	14.32705	-0.75070	-1.05308
20.50	15.18726	-1.58495	-0.43136
20.60	14.31459	-1.30361	-1.14710
20.70	14.88114	-0.24305	-0.52776
20.80	15.30398	-0.59310	-0.63444
20.90	14.54761	-0.30460	-1.30465
21.00	14.04378	-0.08155	-2.15855
21.10	13.98106	-0.32674	-2.43784
21.20	14.15634	-0.17532	-1.81117
21.30	14.14554	0.72242	-1.91667
21.40	14.05541	0.50523	-1.78544
21.50	14.14139	0.21607	-1.92558
21.60	13.74306	1.10307	-1.87214
21.70	13.56320	0.29488	-1.94715
21.80	13.85396	0.66837	-1.76149
21.90	13.59602	-0.00112	-1.60275
22.00	13.05480	-0.96822	-1.63461
22.10	12.76156	-0.86630	-1.42361
22.20	12.99956	-1.60416	-1.98536
22.30	13.01327	-1.70706	-0.80467
